1750a						1750a-unknown-none
epiphany-elf					epiphany-unknown-elf
es1800						m68k-ericsson-ose
etraxfs						crisv32-axis-none
fido						fido-unknown-none
fido-elf					fido-unknown-elf
fr30						fr30-unknown-none
frv						frv-unknown-none
frv-linux					frv-unknown-linux-gnu
ft32						ft32-unknown-none
ft32-elf					ft32-unknown-elf
fx2800						i860-alliant-sysv
fx80						fx80-alliant-none
genix						ns32k-ns-genix
gmicro						tron-gmicro-sysv
go32						i386-pc-go32
h8300						h8300-unknown-none
h8300hms					h8300-hitachi-hms
h8300xray					h8300-hitachi-xray
h8500						h8500-unknown-none
h8500hms					h8500-hitachi-hms
harris						m88k-harris-sysv3
hcs12z						s12z-unknown-none
hexagon						hexagon-unknown-elf
hexagon-linux					hexagon-unknown-linux-gnu
hp300						m68k-hp-hpux
hp300bsd					m68k-hp-bsd
hp300hpux					m68k-hp-hpux
hp3k900 					hppa1.0-hp-hpux
hp893						hppa1.1-hp-hpux
hp900						hppa1.0-hp-hpux
hp9k200 					m68000-hp-hpux
hp9k310 					m68000-hp-hpux
hp9k893						hppa1.1-hp-hpux
hppa						hppa-unknown-none
hppa-next					hppa-next-nextstep
hppa1.0						hppa1.0-unknown-none
hppa2.0						hppa2.0-unknown-none
hppa2.0n					hppa2.0n-unknown-none
hppa64						hppa64-unknown-none
hppaosf						hppa1.1-hp-osf
hppro						hppa1.1-hp-proelf
i370						i370-ibm-mvs
i370-opened					i370-ibm-openedition
i386-386bsd					i386-pc-bsd
i386-aros					i386-pc-aros
i386-bitrig					i386-pc-bitrig
i386-bsd					i386-pc-bsd
i386-cloudabi					i386-pc-cloudabi
i386-drops1.0					i386-pc-drops1.0
i386-elf					i386-pc-elf
i386-es						i386-pc-es
i386-fiwix					i386-pc-fiwix
i386-freebsd					i386-pc-freebsd
i386-glidix					i386-pc-glidix
i386-haiku					i386-pc-haiku
i386-isc					i386-pc-isc2.2
i386-libertybsd					i386-pc-libertybsd
i386-linux					i386-pc-linux-gnu
i386-linux-musl					i386-pc-linux-musl
i386-linux-newlib				i386-pc-linux-newlib
i386-midipix					i386-pc-midipix
i386-mingw32					i386-pc-mingw32
i386-msys					i386-pc-msys
i386-netbsd					i386-pc-netbsd
i386-next-openstep4				i386-next-openstep4
i386-openbsd					i386-pc-openbsd
i386-os2					i386-pc-os2
i386-pc-nacl					i386-pc-nacl
i386-pc-sco					i386-pc-sco3.2v2
i386-pc-sco4					i386-pc-sco3.2v4
i386-pc-sco5					i386-pc-sco3.2v5
i386-pc-sco5v6					i386-pc-sco5v6
i386-pc-sco6					i386-pc-sco5v6
i386-phoenix					i386-pc-phoenix
i386-plan9					i386-pc-plan9
i386-serenity					i386-pc-serenity
i386-solidbsd					i386-pc-solidbsd
i386-sortix					i386-pc-sortix
i386-sun					i386-sun-sunos4.0.2
i386-udk					i386-pc-udk
i386-vsta					i386-pc-vsta
i386-windows					i386-pc-windows
i386-xenix					i386-pc-xenix
i386mach					i386-mach-mach
i486-elf					i486-pc-elf
i586-auroraux					i586-pc-auroraux
i586-auroraux5.0				i586-pc-auroraux5.0
i586-elf					i586-pc-elf
i586-rdos					i586-pc-rdos
i586-skyos					i586-pc-skyos
i586-zephyr					i586-unknown-zephyr
i686-android-linux				i686-unknown-linux-android
i686-dicos					i686-pc-dicos
i686-elf					i686-pc-elf
i686-ericsson-dicos				i686-ericsson-dicos
i686-haiku					i686-pc-haiku
i686-kopensolaris5.11-gnu			i686-pc-kopensolaris5.11-gnu
i686-os2-emx					i686-pc-os2-emx
i686-wrs-vxworks				i686-wrs-vxworks
i686-wrs-vxworks-simlinux			i686-wrs-vxworks-simlinux
i686-wrs-vxworks-simwindows			i686-wrs-vxworks-simwindows
i686-zephyr					i686-unknown-zephyr
i786-elf					i786-pc-elf
i860						i860-unknown-sysv
i960						i960-unknown-none
ia16						ia16-unknown-none
ia64						ia64-unknown-none
ibm						i370-ibm-aix
ip2k						ip2k-unknown-none
iq2000						iq2000-unknown-none
iris						mips-sgi-irix4
iris4d						mips-sgi-irix4
isi						m68k-isi-sysv
isi68						m68k-isi-sysv
j90						j90-cray-unicos
j90-cray					j90-cray-unicos
j90-unicos					j90-cray-unicos
k1om						k1om-unknown-none
k1om-linux					k1om-unknown-linux-gnu
le32						le32-unknown-none
le32-nacl					le32-unknown-nacl
le64						le64-unknown-none
le64-none					le64-unknown-none
leon						sparc-leon-sunos4.1.1
leon-elf					sparc-leon-elf
leon-wrs-vxworks				sparc-leon-vxworks
leon3						sparc-leon3-sunos4.1.1
leon3-elf					sparc-leon3-elf
leon3-vxworks					sparc-leon3-vxworks
lm32						lm32-unknown-none
lm32-elf					lm32-unknown-elf
loongarch32					loongarch32-unknown-none
loongarch32-elf					loongarch32-unknown-elf
loongarch32-linux				loongarch32-unknown-linux-gnu
loongarch32-loongson-elf			loongarch32-loongson-elf
loongarch64					loongarch64-unknown-none
loongarch64-elf					loongarch64-unknown-elf
loongarch64-linux				loongarch64-unknown-linux-gnu
loongarch64-loongson-elf			loongarch64-loongson-elf
loongarchx32					loongarchx32-unknown-none
loongarchx32-elf				loongarchx32-unknown-elf
loongarchx32-linux				loongarchx32-unknown-linux-gnu
loongarchx32-loongson-elf			loongarchx32-loongson-elf
m3230						mips-mips-sysv
m32c						m32c-unknown-none
m32c-elf					m32c-unknown-elf
m32r						m32r-unknown-none
m32rle						m32rle-unknown-none
m68000						m68000-unknown-none
m68000-sun					m68000-sun-sunos3
m68hcs12z					s12z-unknown-none
m68k						m68k-unknown-none
m68k-es1800					m68k-unknown-ose
m68k-mint					m68k-atari-mint
m68k-next-openstep3				m68k-next-openstep3
m68k-next-openstep4				m68k-next-openstep4
m68knommu					m68k-unknown-linux-gnu
m88k						m88k-unknown-none
m88k-omron					m88k-omron-luna
m9s12z						s12z-unknown-none
mac						m68k-apple-macos
mac-mpw						m68k-apple-mpw
magnum						mips-mips-sysv
maxq						maxq-unknown-none
maxq-elf					maxq-unknown-elf
mb						mb-unknown-none
mb-elf						mb-unknown-elf
mcore						mcore-unknown-none
mep						mep-unknown-elf
mep-elf						mep-unknown-elf
merlin						ns32k-utek-sysv
metag						metag-unknown-none
metag-linux					metag-unknown-linux-gnu
microblaze					microblaze-xilinx-none
microblaze-elf					microblaze-xilinx-elf
microblaze-linux				microblaze-xilinx-linux-gnu
microblazeel					microblazeel-xilinx-none
microblazeel-elf				microblazeel-xilinx-elf
microblazeel-foobar-elf				microblazeel-foobar-elf
microblazeel-linux				microblazeel-xilinx-linux-gnu
mingw32						i686-pc-mingw32
mingw32ce					arm-unknown-mingw32ce
mingw64						x86_64-pc-mingw64
miniframe					m68000-convergent-sysv
mips						mips-unknown-elf
mips-sde-elf					mips-sde-elf
mips-zephyr					mips-unknown-zephyr
mips16						mips16-unknown-elf
mips64						mips64-unknown-elf
mips64eb					mips64eb-unknown-elf
mips64el					mips64el-unknown-elf
mips64octeon					mips64octeon-unknown-elf
mips64octeon-elf				mips64octeon-unknown-elf
mips64octeonel					mips64octeonel-unknown-elf
mips64octeonel-elf				mips64octeonel-unknown-elf
mips64orion					mips64orion-unknown-elf
mips64orionel					mips64orionel-unknown-elf
mips64r5900					mips64r5900-unknown-elf
mips64r5900-elf					mips64r5900-unknown-elf
mips64r5900el					mips64r5900el-unknown-elf
mips64r5900el-elf				mips64r5900el-unknown-elf
mips64vr					mips64vr-unknown-elf
mips64vr4100					mips64vr4100-unknown-elf
mips64vr4100el					mips64vr4100el-unknown-elf
mips64vr4300					mips64vr4300-unknown-elf
mips64vr4300el					mips64vr4300el-unknown-elf
mips64vr5000					mips64vr5000-unknown-elf
mips64vr5000el					mips64vr5000el-unknown-elf
mips64vr5900					mips64vr5900-unknown-elf
mips64vr5900-elf				mips64vr5900-unknown-elf
mips64vr5900el					mips64vr5900el-unknown-elf
mips64vr5900el-elf				mips64vr5900el-unknown-elf
mips64vrel					mips64vrel-unknown-elf
mipsbe						mipsbe-unknown-elf
mipseb						mipseb-unknown-elf
mipsel						mipsel-unknown-elf
mipsisa32					mipsisa32-unknown-elf
mipsisa32el					mipsisa32el-unknown-elf
mipsisa32r2					mipsisa32r2-unknown-elf
mipsisa32r2el					mipsisa32r2el-unknown-elf
mipsisa32r3					mipsisa32r3-unknown-elf
mipsisa32r3el					mipsisa32r3el-unknown-elf
mipsisa32r5					mipsisa32r5-unknown-elf
mipsisa32r5el					mipsisa32r5el-unknown-elf
mipsisa32r6					mipsisa32r6-unknown-elf
mipsisa32r6-elf					mipsisa32r6-unknown-elf
mipsisa32r6el					mipsisa32r6el-unknown-elf
mipsisa32r6el-elf				mipsisa32r6el-unknown-elf
mipsisa64					mipsisa64-unknown-elf
mipsisa64el					mipsisa64el-unknown-elf
mipsisa64r2					mipsisa64r2-unknown-elf
mipsisa64r2el					mipsisa64r2el-unknown-elf
mipsisa64r3					mipsisa64r3-unknown-elf
mipsisa64r3el					mipsisa64r3el-unknown-elf
mipsisa64r5					mipsisa64r5-unknown-elf
mipsisa64r5el					mipsisa64r5el-unknown-elf
mipsisa64r6					mipsisa64r6-unknown-elf
mipsisa64r6-elf					mipsisa64r6-unknown-elf
mipsisa64r6el					mipsisa64r6el-unknown-elf
mipsisa64r6el-elf				mipsisa64r6el-unknown-elf
mipsisa64sb1					mipsisa64sb1-unknown-elf
mipsisa64sb1el					mipsisa64sb1el-unknown-elf
mipsisa64sr71k					mipsisa64sr71k-unknown-elf
mipsisa64sr71kel				mipsisa64sr71kel-unknown-elf
mipsle						mipsle-unknown-elf
mipsr5900					mipsr5900-unknown-elf
mipsr5900el					mipsr5900el-unknown-elf
mipstx39					mipstx39-unknown-elf
mipstx39el					mipstx39el-unknown-elf
mmax						ns32k-encore-bsd
mmix						mmix-knuth-mmixware
mmix-elf					mmix-knuth-elf
mn10200						mn10200-unknown-none
mn10300						mn10300-unknown-none
mon960						i960-intel-mon960
monitor						m68k-rom68k-coff
morphos						powerpc-unknown-morphos
moxie						moxie-unknown-none
moxie-elf					moxie-unknown-elf
moxiebox					moxie-unknown-moxiebox
mpw						m68k-apple-macos
ms1						mt-unknown-none
ms1-elf						mt-unknown-elf
msdos						i386-pc-msdos
msp430						msp430-unknown-none
msys						i686-pc-msys
mt						mt-unknown-none
mt-elf						mt-unknown-elf
mvs						i370-ibm-mvs
nacl						le32-unknown-nacl
ncr3000						i486-ncr-sysv4
nds32						nds32-unknown-none
nds32-elf					nds32-unknown-elf
nds32be						nds32be-unknown-none
nds32le						nds32le-unknown-none
nds32le-elf					nds32le-unknown-elf
necv70						v70-nec-sysv
netbsd386					i386-pc-netbsd
netwinder					armv4l-rebel-linux-gnu
news						m68k-sony-newsos
news-3600					mips-sony-newsos
news1000					m68030-sony-newsos
news700						m68k-sony-newsos
news800						m68k-sony-newsos
news900						m68k-sony-newsos
nfp						nfp-unknown-none
nfp-elf						nfp-unknown-elf
nh3000						m68k-harris-cxux
nh4000						m88k-harris-cxux
nh5000						m88k-harris-cxux
nindy960					i960-intel-nindy
nios						nios-unknown-none
nios-elf					nios-unknown-elf
nios2						nios2-unknown-none
nios2-elf					nios2-unknown-elf
nios2-zephyr					nios2-unknown-zephyr
nios2eb						nios2eb-unknown-none
nios2eb-elf					nios2eb-unknown-elf
nios2el						nios2el-unknown-none
nios2el-elf					nios2el-unknown-elf
nonstopux					mips-compaq-nonstopux
np1						np1-gould-sysv
ns16k						ns16k-unknown-none
ns32k						ns32k-unknown-none
nsv-tandem-nsk					nsv-tandem-nsk
nsx-tandem-nsk					nsx-tandem-nsk
nvptx						nvptx-unknown-none
op50n						hppa1.1-oki-proelf
op60c						hppa1.1-oki-proelf
open8						open8-unknown-none
open8-elf					open8-unknown-elf
openrisc-linux					or32-unknown-linux-gnu
